Player_Code,Player Name,Position,Game Played,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
87046, Abanikanda,0,45,0,0,0,0,0,0,0,0,0,0,0,130,2,7.5
1044292, Ademola Olatunji,DB,2,0,0,0,0,0,0,0,0,0,0,0,7,1,0
84751, Allen,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0
85056, Anthony,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87303, Antolick,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86906, Appleby,0,43,0,0,0,0,0,0,0,0,0,0,0,131,1,4.5
84976, Bacheyie,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0
86050, Bagley,0,1,0,0,0,0,0,0,0,0,3,26,0,0,0,0
85052, Baker,0,1,0,0,0,0,0,15,54,0,1,8,0,0,0,0
87121, Baker,0,13,0,0,0,0,0,2,5,0,0,0,0,12,0,1
87055, Banag,0,19,0,0,0,0,0,0,0,0,0,0,0,27,0,2
87093, Banks,0,30,0,0,0,0,0,0,0,0,0,0,0,113,1,0
87183, Banks,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86963, Barbier,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0
87007, Beckwith,0,41,0,0,0,0,0,0,0,0,0,0,0,89,2,4.5
87278, Benton,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84756, Bergquist,0,1,7,6,28,0,1,1,9,0,0,0,0,0,0,0
87187, Bertrand,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
86978, Best,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0
84895, Bowen,0,35,0,0,0,0,0,0,0,0,0,0,0,181,2,4
84549, Bradley,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
84967, Bradley,0,16,0,0,0,0,0,0,0,0,0,0,0,17,0,6
87081, Brandt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84878, Brown,0,19,0,0,0,0,0,0,0,0,0,0,0,18,0,2.5
