Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Draft_Outcome,Player_Code,Game Played,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
41,2004,Josh Harris,QB,0.0,Bowling Green,College Stats,73,238,4.78,31.0,0.0,115.0,0.0,0.0,Baltimore Ravens ,6,drafted,49247.0,5,15.0,9.0,73.0,0.0,0.0,6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2006,Vince Young,QB,36.0,Texas,College Stats,77,229,4.48,0.0,0.0,0.0,0.0,0.0,Tennessee Titans ,1,drafted,65982.0,13,325.0,212.0,3036.0,10.0,26.0,155.0,1050.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0
8,2006,Charlie Whitehurst,QB,7.0,Clemson,College Stats,77,223,4.75,33.0,0.0,112.0,7.0,4.11,San Diego Chargers ,3,drafted,46545.0,11,340.0,229.0,2483.0,10.0,11.0,50.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2006,Marcus Vick,QB,0.0,Virginia Tech,College Stats,73,200,4.47,36.0,0.0,117.0,6.94,4.08,0,8,undrafted,83920.0,13,289.0,177.0,2393.0,10.0,17.0,147.0,380.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2006,Omar Jacobs,QB,0.0,Bowling Green,College Stats,76,232,4.84,32.5,0.0,108.0,7.47,4.29,Pittsburgh Steelers ,5,drafted,45899.0,9,321.0,195.0,2590.0,7.0,26.0,40.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2006,Reggie McNeal,QB,0.0,Texas A&M,College Stats,74,198,4.4,32.0,0.0,121.0,6.96,4.25,Cincinnati Bengals ,6,drafted,51994.0,10,265.0,141.0,1963.0,9.0,16.0,96.0,664.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
65,2006,Matt Leinart,QB,12.0,Southern California,College Stats,77,223,4.9,0.0,0.0,0.0,0.0,0.0,Arizona Cardinals ,1,drafted,39159.0,13,431.0,283.0,3815.0,8.0,28.0,51.0,36.0,6.0,1.0,11.0,0.0,0.0,0.0,0.0
86,2006,Bruce Gradkowski,QB,8.0,Toledo,College Stats,73,217,4.59,34.0,0.0,107.0,7.12,4.16,Tampa Bay Buccaneers ,6,drafted,52115.0,11,332.0,207.0,2469.0,12.0,29.0,61.0,291.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
98,2006,Jay Cutler,QB,109.0,Vanderbilt,College Stats,75,226,4.77,0.0,23.0,0.0,7.1,4.26,Denver Broncos ,1,drafted,41009.0,11,462.0,273.0,3073.0,9.0,21.0,106.0,215.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
99,2006,Brodie Croyle,QB,2.0,Alabama,College Stats,74,205,4.88,30.5,0.0,104.0,7.34,4.25,Kansas City Chiefs ,3,drafted,30138.0,12,339.0,202.0,2499.0,4.0,14.0,64.0,-156.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2006,Kellen Clemens,QB,10.0,Oregon,College Stats,74,224,4.89,0.0,0.0,0.0,0.0,0.0,New York Jets ,2,drafted,37773.0,8,289.0,185.0,2406.0,4.0,19.0,69.0,228.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
115,2006,Brett Basanez,QB,0.0,Northwestern,College Stats,73,220,4.76,34.0,0.0,114.0,6.75,4.22,0,8,undrafted,37404.0,12,497.0,314.0,3622.0,8.0,21.0,113.0,423.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2006,D.J. Shockley,QB,0.0,Georgia,College Stats,73,214,4.56,37.5,0.0,121.0,7.07,4.17,Atlanta Falcons ,7,drafted,33514.0,12,310.0,173.0,2588.0,5.0,24.0,78.0,322.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2006,Kent Smith,QB,0.0,Central Michigan,College Stats,77,216,4.57,35.0,0.0,122.0,7.41,4.47,0,8,undrafted,31795.0,11,420.0,255.0,2799.0,6.0,16.0,157.0,443.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2006,Bruce Eugene,QB,0.0,Grambling State,0,73,260,5.12,27.5,0.0,94.0,7.97,4.76,0,8,undrafted,42906.0,1,30.0,14.0,197.0,0.0,1.0,12.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2006,Darrell Hackney,QB,0.0,Alabama-Birmingham,College Stats,73,239,4.82,33.0,0.0,110.0,7.62,4.69,0,8,undrafted,45412.0,11,386.0,242.0,3180.0,12.0,22.0,51.0,105.0,1.0,1.0,-2.0,0.0,3.0,0.0,0.0
