Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Draft_Outcome,Player_Code,Game Played,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD
59,2014,A.J. McCarron,QB,3,Alabama,College Stats,75,220,4.94,28,0,99,7.18,4.34,Cincinnati Bengals ,5,drafted,1022888,49,20.93877551,14,184.0612245,0.306122449,1.571428571,2.428571429,-1.020408163,0.06122449
148,2012,Aaron Corp,QB,0,Richmond,0,75,215,4.61,31.5,0,106,7.03,4.3,0,8,undrafted,1035872,2,31.5,16,188,1,0.5,2,20,0
50,2014,Aaron Murray,QB,0,Georgia,College Stats,73,207,4.84,0,0,0,0,0,Kansas City Chiefs ,5,drafted,1024001,52,28.42307692,17.71153846,253.1923077,0.788461538,2.326923077,5.5,7.615384615,0.307692308
137,2008,Adam Tafralis,QB,0,San Jose State,College Stats,73,221,4.78,32,0,108,7.14,4.33,0,8,undrafted,59620,36,26.72222222,15.94444444,197.6666667,0.777777778,1.388888889,5.888888889,14.19444444,0.194444444
119,2008,Alex Brink,QB,0,Washington State,College Stats,74,211,4.96,28,0,112,7.22,4.19,Houston Texans ,7,drafted,64890,35,35.91428571,21.45714286,274.5142857,1.085714286,1.971428571,5.628571429,4.228571429,0.114285714
3,2008,Andre Woodson,QB,0,Michigan State,College Stats,76,229,4.85,0,0,0,0,0,New York Giants ,6,drafted,64431,37,32.16216216,19.91891892,239.6756757,0.648648649,2.081081081,5.297297297,-12.51351351,0.135135135
63,2012,Andrew Luck,QB,64,Stanford,College Stats,76,234,4.59,36,0,124,6.8,4.28,Indianapolis Colts ,1,drafted,1018393,38,28,18.76315789,248,0.578947368,2.157894737,4.315789474,25.18421053,0.184210526
124,2011,Andy Dalton,QB,83,TCU,College Stats,74,215,4.83,29.5,0,106,6.93,4.27,Cincinnati Bengals ,2,drafted,1011254,50,26.34,16.24,206.28,0.6,1.42,8.26,32.22,0.44
126,2015,Anthony Boone,QB,0,Duke,College Stats,73,231,5.03,26.5,0,100,7.47,4.62,0,8,undrafted,1031697,31,15.16129032,9.225806452,99.93548387,0.516129032,0.612903226,4.387096774,13.70967742,0.35483871
167,2008,Anthony Morelli,QB,0,Penn State,College Stats,76,231,5.07,26.5,16,108,7.43,4.6,0,8,undrafted,85990,29,27.86206897,15.68965517,180.3448276,0.620689655,1.068965517,3.137931034,-3.75862069,0.034482759
