Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Draft_Outcome,Player_Code,Position,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
3,2000,James Williams,WR,4.0,Marshall,College Stats,71,180,4.59,36.0,0.0,123.0,7.22,4.16,Seattle Seahawks ,6,drafted,64603,TE,0,0,0,0,0,0,0,0,3,41,0,0,0,0.0
14,2000,Travis Taylor,WR,36.0,Florida,College Stats,73,199,4.43,37.0,0.0,118.0,7.15,0.0,Baltimore Ravens ,1,drafted,1058958,LB,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0
21,2000,Paul Smith,FB,3.0,Texas-El Paso,0,71,220,4.65,0.0,25.0,0.0,0.0,0.0,San Francisco 49ers ,5,drafted,55984,QB,1258,787,10639,34,82,317,665,27,0,0,0,2,0,0.0
50,2000,Jamal Lewis,RB,83.0,Tennessee,College Stats,73,240,4.58,0.0,23.0,0.0,0.0,0.0,Baltimore Ravens ,1,drafted,73417,DB,0,0,0,0,0,0,0,0,0,0,0,101,4,2.5
59,2000,John Jones,TE,0.0,Indiana (PA),College Stats,76,248,4.63,38.5,13.0,125.0,7.33,4.43,0,8,undrafted,1008249,OG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,2000,Doug Johnson,QB,8.0,Florida,College Stats,74,226,4.95,29.5,0.0,96.0,0.0,0.0,0,8,undrafted,1044777,LB,0,0,0,0,0,9,-2,0,2,27,0,5,0,2.0
97,2000,Travis Brown,QB,1.0,Northern Arizona,0,75,218,5.01,29.0,0.0,101.0,7.54,4.87,0,8,undrafted,74365,WR,0,0,0,0,0,37,266,2,171,2093,12,2,0,0.0
105,2000,Anthony White,RB,0.0,Kentucky,0,73,195,4.68,32.5,0.0,118.0,7.05,4.24,0,8,undrafted,1010147,LB,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
110,2000,Keith Smith,RB,0.0,Arizona,0,70,207,4.5,0.0,0.0,0.0,0.0,0.0,0,8,undrafted,1003116,QB,2,1,15,0,1,2,10,0,158,1709,8,9,0,0.0
120,2000,Keith Brown,RB,0.0,UCLA,0,71,216,4.66,30.0,0.0,117.0,6.64,4.08,0,8,undrafted,73057,WR,1,0,0,0,0,8,57,0,100,1568,12,1,0,0.0
128,2000,Chris Daniels,WR,0.0,Purdue,0,75,217,4.74,33.0,0.0,115.0,7.2,4.24,0,8,undrafted,81659,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
130,2000,Adam Davis,OG,0.0,Oklahoma State,0,76,309,5.66,26.0,0.0,92.0,8.51,5.0,0,8,undrafted,1032290,DE,0,0,0,0,0,0,0,0,0,0,0,62,0,10.0
148,2000,Matt Johnson,OG,0.0,BYU,0,76,345,5.56,28.0,35.0,99.0,8.07,4.99,0,8,undrafted,1012796,DB,0,0,0,0,0,0,0,0,0,0,0,9,1,1.0
