Pos,Unnamed: 0,Year,Player,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Age,Team,All Pro,Pro Bowl,AV,Games,Pass Completions,Pass Attempts,Pass Yards,Pass TDs,Interceptions,Rush Attempts,Rush Yards,Rush TDs,Receptions,Receiving Yards,Receiving TDs,Tackles,Picks,Sacks
RB,3,2000,Michael Wiley,71.0,193,4.5,0.0,0.0,0.0,0.0,0.0,Dallas Cowboys ,5.0,144,22.0,DAL,0,0,4.0,42.0,0.0,0.0,0.0,0.0,0.0,80.0,503.0,1.0,43.0,315.0,2.0,6.0,0.0,0
RB,15,2000,Shyrone Stith,67.0,204,4.6,35.0,13.0,111.0,7.14,4.14,Jacksonville Jaguars ,7.0,243,22.0,JAX,0,0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0
RB,19,2000,Paul Smith,71.0,220,4.65,0.0,25.0,0.0,0.0,0.0,San Francisco 49ers ,5.0,132,22.0,SFO,0,0,3.0,79.0,0.0,0.0,0.0,0.0,0.0,46.0,210.0,1.0,18.0,182.0,0.0,27.0,0.0,0
RB,26,2000,J.R. Redmond,71.0,216,4.48,32.5,0.0,121.0,0.0,0.0,New England Patriots ,3.0,76,23.0,NWE,0,0,9.0,50.0,0.0,0.0,0.0,0.0,0.0,194.0,676.0,1.0,68.0,502.0,2.0,13.0,0.0,0
RB,30,2000,Travis Prentice,73.0,225,4.5,37.0,23.0,115.0,6.92,4.4,Cleveland Browns ,3.0,63,23.0,CLE,0,0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,187.0,525.0,9.0,38.0,201.0,1.0,3.0,0.0,0
RB,36,2000,Chad Morton,68.0,182,4.5,36.0,18.0,121.0,0.0,0.0,New Orleans Saints ,5.0,166,23.0,NOR,0,0,9.0,93.0,0.0,0.0,0.0,0.0,0.0,89.0,382.0,0.0,48.0,419.0,1.0,7.0,0.0,0
RB,38,2000,Sammy Morris,73.0,221,4.65,37.5,23.0,117.0,7.05,4.21,Buffalo Bills ,5.0,156,23.0,BUF,0,0,28.0,144.0,0.0,0.0,0.0,0.0,0.0,736.0,3053.0,26.0,166.0,1258.0,1.0,48.0,0.0,0
RB,39,2000,Frank Moreau,73.0,231,4.57,36.0,23.0,117.0,0.0,0.0,Kansas City Chiefs ,4.0,115,24.0,KAN,0,0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,75.0,206.0,5.0,0.0,0.0,0.0,0.0,0.0,0
RB,40,2000,Rondell Mealey,73.0,212,4.69,33.0,0.0,120.0,6.89,4.15,Green Bay Packers ,7.0,252,23.0,GNB,0,0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,22.0,73.0,1.0,9.0,76.0,0.0,6.0,0.0,0
RB,45,2000,Jamal Lewis,73.0,240,4.58,0.0,23.0,0.0,0.0,0.0,Baltimore Ravens ,1.0,5,21.0,BAL,1,1,71.0,131.0,0.0,0.0,0.0,0.0,0.0,2542.0,10607.0,58.0,221.0,1879.0,4.0,8.0,0.0,0
RB,49,2000,Curtis Keaton,70.0,214,4.41,41.5,23.0,131.0,6.82,3.93,Cincinnati Bengals ,4.0,97,23.0,CIN,0,0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,23.0,91.0,0.0,1.0,9.0,0.0,0.0,0.0,0
